Run,manSellers,Buyers,manBuyers,Sellers,riskAversion,maxRounds,Trades,manTarget,actualPrice,finalPrice
1,0,498,0,498,0.5,2500,365,56,50,49.73546205858075
2,0,498,0,498,0.5,2500,370,11,50,48.21493600512011
3,0,498,0,498,0.5,2500,369,52,0,56.68340626946508
4,0,498,0,498,0.5,2500,369,11,0,50.00629860483644
5,0,498,0,498,0.5,2500,365,28,50,53.73824004927447
6,0,498,0,498,0.5,2500,373,65,50,50
7,0,498,0,498,0.5,2500,365,36,50,49.847795413108095
8,0,498,0,498,0.5,2500,349,74,50,50
9,0,498,0,498,0.5,2500,371,81,0,49.69725096073873
10,0,498,0,498,0.5,2500,368,46,50,49.994340443812014
11,0,498,0,498,0.5,5000,378,75,50,50.001950076139174
12,0,498,0,498,0.5,5000,385,51,100,51.35510477377483
13,0,498,0,498,0.5,5000,372,44,50,49.95571141640884
14,0,498,0,498,0.5,5000,372,90,0,50.00416264481019
15,0,498,0,498,0.5,5000,381,97,50,50.51967996232693
16,0,498,0,498,0.5,5000,371,53,0,49.97466962586864
17,0,498,0,498,0.5,5000,385,71,100,46.53538130921956
18,0,498,0,498,0.5,5000,376,77,50,50.311942180973794
19,0,498,0,498,0.5,5000,375,56,0,50.461083318865505
20,0,498,0,498,0.5,5000,381,94,100,49.96879146160401
21,0,498,0,999,0.5,2500,372,97,50,32.99796768152869
22,0,498,0,999,0.5,2500,393,88,100,33.12972648688316
23,0,498,0,999,0.5,2500,384,94,50,25.25679706198475
24,0,498,0,999,0.5,2500,395,87,50,29.350158118583295
25,0,498,0,999,0.5,2500,372,23,0,25
26,0,498,0,999,0.5,2500,385,67,50,28.548203787666903
27,0,498,0,999,0.5,2500,384,13,0,32.638071070606856
28,0,498,0,999,0.5,2500,383,84,100,25.01050179883054
29,0,498,0,999,0.5,2500,374,78,0,35.95170913870844
30,0,498,0,999,0.5,2500,381,51,0,39.70644381316295
31,0,498,0,999,0.5,5000,441,80,100,25.00008047561066
32,0,498,0,999,0.5,5000,441,14,100,25.072261284576122
33,0,498,0,999,0.5,5000,420,44,50,25
34,0,498,0,999,0.5,5000,447,4,50,25.527782255232026
35,0,498,0,999,0.5,5000,433,66,0,27.22660921733834
36,0,498,0,999,0.5,5000,443,77,50,25.06503144695688
37,0,498,0,999,0.5,5000,448,93,50,25.0062949117777
38,0,498,0,999,0.5,5000,452,29,100,25.068346713190923
39,0,498,0,999,0.5,5000,445,84,0,25.17295342170089
40,0,498,0,999,0.5,5000,432,21,50,25
41,0,498,250,498,0.5,2500,378,44,50,71.2736386435607
42,0,498,250,498,0.5,2500,387,60,0,60.3020260446318
43,0,498,250,498,0.5,2500,372,16,100,66.36529578938331
44,0,498,250,498,0.5,2500,374,66,100,64.64899351761142
45,0,498,250,498,0.5,2500,371,13,50,70.92559445457042
46,0,498,250,498,0.5,2500,375,15,0,72.95449051099101
47,0,498,250,498,0.5,2500,371,38,100,53.34581091880534
48,0,498,250,498,0.5,2500,373,35,50,61.79626458953835
49,0,498,250,498,0.5,2500,382,19,0,73.59188494586527
50,0,498,250,498,0.5,2500,370,11,50,67.95015500000224
51,0,498,250,498,0.5,5000,394,79,100,53.79028283023489
52,0,498,250,498,0.5,5000,396,37,100,69.34455125950362
53,0,498,250,498,0.5,5000,408,49,50,67.64577319945296
54,0,498,250,498,0.5,5000,403,11,0,67.17969876244842
55,0,498,250,498,0.5,5000,387,18,100,61.4373544595749
56,0,498,250,498,0.5,5000,401,25,0,68.77039425837039
57,0,498,250,498,0.5,5000,400,42,100,65.49404971093075
58,0,498,250,498,0.5,5000,399,62,50,73.34547768575234
59,0,498,250,498,0.5,5000,396,15,50,67.06809223931711
60,0,498,250,498,0.5,5000,386,14,100,69.87761189793964
61,0,498,250,999,0.5,2500,449,11,50,37.72281076086575
62,0,498,250,999,0.5,2500,453,87,100,43.84371948029609
63,0,498,250,999,0.5,2500,444,45,100,35.01216993429803
64,0,498,250,999,0.5,2500,471,86,0,52.64911579160774
65,0,498,250,999,0.5,2500,476,9,0,49.99792500652299
66,0,498,250,999,0.5,2500,458,15,50,26.064544457073296
67,0,498,250,999,0.5,2500,453,31,100,51.095371541632645
68,0,498,250,999,0.5,2500,459,30,0,46.00348456359229
69,0,498,250,999,0.5,2500,463,66,50,36.92930425402009
70,0,498,250,999,0.5,2500,458,96,100,61.01559439087612
71,0,498,250,999,0.5,5000,573,12,50,46.49122807017544
72,0,498,250,999,0.5,5000,564,65,0,42.47277872322634
73,0,498,250,999,0.5,5000,573,53,100,48.48440878264422
74,0,498,250,999,0.5,5000,0,21,100,0
75,0,498,250,999,0.5,5000,570,40,0,47.875222891182055
76,0,498,250,999,0.5,5000,580,34,50,29.107858514631527
77,0,498,250,999,0.5,5000,562,31,100,47.5888475754518
78,0,498,250,999,0.5,5000,573,61,0,47.961452478126134
79,0,498,250,999,0.5,5000,580,72,100,34.122375645315906
80,0,498,250,999,0.5,5000,558,44,50,41.90727793031907
81,0,999,0,498,0.5,2500,384,10,0,74.42071075197202
82,0,999,0,498,0.5,2500,382,10,100,68.21472937359022
83,0,999,0,498,0.5,2500,390,42,100,68.07752315113129
84,0,999,0,498,0.5,2500,373,88,0,52.90362165102643
85,0,999,0,498,0.5,2500,382,67,0,60.03900329783417
86,0,999,0,498,0.5,2500,389,55,100,71.72215984144678
87,0,999,0,498,0.5,2500,386,25,50,55.01039268666935
88,0,999,0,498,0.5,2500,382,93,0,73.92222177800937
89,0,999,0,498,0.5,2500,382,49,100,64.27892730456207
90,0,999,0,498,0.5,2500,381,69,50,66.62027033761021
91,0,999,0,498,0.5,5000,442,41,0,74.99954638511687
92,0,999,0,498,0.5,5000,447,30,100,74.49933368033027
93,0,999,0,498,0.5,5000,424,49,100,75
94,0,999,0,498,0.5,5000,440,53,0,74.99511963284041
95,0,999,0,498,0.5,5000,446,69,100,74.97419757171039
96,0,999,0,498,0.5,5000,443,71,100,74.98609620804018
97,0,999,0,498,0.5,5000,436,4,0,74.99999956198027
98,0,999,0,498,0.5,5000,443,16,50,74.95069433316957
99,0,999,0,498,0.5,5000,437,46,0,74.98907758079488
100,0,999,0,498,0.5,5000,456,0,0,74.99997564577302
101,0,999,0,999,0.5,2500,538,76,0,62.82008250855127
102,0,999,0,999,0.5,2500,543,26,100,44.602501867556605
103,0,999,0,999,0.5,2500,538,69,50,45.754950125967724
104,0,999,0,999,0.5,2500,536,14,100,25
105,0,999,0,999,0.5,2500,535,72,50,55.25951901448137
106,0,999,0,999,0.5,2500,537,2,50,71.49905705753773
107,0,999,0,999,0.5,2500,521,32,100,40.74956234670037
108,0,999,0,999,0.5,2500,551,16,50,51.467192193016075
109,0,999,0,999,0.5,2500,528,92,50,74.94062779093815
110,0,999,0,999,0.5,2500,534,35,50,26.831211077773325
111,0,999,0,999,0.5,5000,0,29,0,0
112,0,999,0,999,0.5,5000,0,40,50,0
113,0,999,0,999,0.5,5000,739,78,50,50.000970371297726
114,0,999,0,999,0.5,5000,739,38,0,50
115,0,999,0,999,0.5,5000,718,73,100,50
116,0,999,0,999,0.5,5000,0,8,0,0
117,0,999,0,999,0.5,5000,753,6,0,50.06702958679765
118,0,999,0,999,0.5,5000,731,65,100,49.59389984621585
119,0,999,0,999,0.5,5000,745,75,0,50
120,0,999,0,999,0.5,5000,727,97,0,51.40933720249333
121,0,999,250,498,0.5,2500,345,69,50,64.85921714789214
122,0,999,250,498,0.5,2500,360,55,50,74.34836142325287
123,0,999,250,498,0.5,2500,370,8,50,74.92597436762391
124,0,999,250,498,0.5,2500,357,42,100,73.66450211281911
125,0,999,250,498,0.5,2500,354,23,0,73.2694536206872
126,0,999,250,498,0.5,2500,346,99,50,69.75978897868578
127,0,999,250,498,0.5,2500,352,54,50,74.32550538890615
128,0,999,250,498,0.5,2500,355,38,50,75
129,0,999,250,498,0.5,2500,350,38,50,67.33168720895775
130,0,999,250,498,0.5,2500,363,37,100,74.48294134496594
131,0,999,250,498,0.5,5000,448,48,100,74.99904571858063
132,0,999,250,498,0.5,5000,443,54,50,74.98875201277917
133,0,999,250,498,0.5,5000,452,21,50,74.69960306199248
134,0,999,250,498,0.5,5000,440,17,100,74.999833697235
135,0,999,250,498,0.5,5000,427,59,0,75
136,0,999,250,498,0.5,5000,435,35,100,51.57758779814134
137,0,999,250,498,0.5,5000,441,69,100,74.99809541800417
138,0,999,250,498,0.5,5000,0,41,50,0
139,0,999,250,498,0.5,5000,446,54,50,74.48777612197226
140,0,999,250,498,0.5,5000,442,90,0,74.9916647374065
141,0,999,250,999,0.5,2500,546,86,0,25.95633600302792
142,0,999,250,999,0.5,2500,527,87,100,60.42777063630105
143,0,999,250,999,0.5,2500,517,93,50,46.897374912572545
144,0,999,250,999,0.5,2500,525,10,0,70.00618792261302
145,0,999,250,999,0.5,2500,532,16,50,69.72085927208953
146,0,999,250,999,0.5,2500,505,21,100,73.0355069600615
147,0,999,250,999,0.5,2500,532,28,100,49.92436413371763
