Run,manSellers,Buyers,manBuyers,Sellers,riskAversion,maxRounds,Trades,manTarget,actualPrice,finalPrice
25,0,498,0,498,1,2500,0,4,100,0
26,0,498,0,498,1,2500,222,20,50,52.211959358200104
27,0,498,0,498,1,2500,0,3,100,0
28,0,498,0,498,1,2500,265,98,50,51.55258777340437
29,0,498,0,498,1,2500,274,97,50,49.65090939420987
30,0,498,0,498,1,2500,0,79,50,0
31,0,498,0,498,1,5000,295,60,0,46.729654241807225
32,0,498,0,498,1,5000,277,81,50,47.522868583433464
33,0,498,0,498,1,5000,288,60,0,49.12852307845198
34,0,498,0,498,1,5000,0,20,0,0
35,0,498,0,498,1,5000,0,11,50,0
36,0,498,0,498,1,5000,267,20,0,46.64248291712785
37,0,498,0,498,1,5000,0,9,100,0
38,0,498,0,498,1,5000,0,26,100,0
39,0,498,0,498,1,5000,250,86,100,47.56218624271525
40,0,498,0,498,1,5000,0,56,50,0
41,0,498,0,999,0,2500,343,58,0,25.074881969585103
42,0,498,0,999,0,2500,343,68,50,50
43,0,498,0,999,0,2500,337,29,50,27.011001368187326
44,0,498,0,999,0,2500,339,47,100,25
45,0,498,0,999,0,2500,338,73,0,47.61600521367546
46,0,498,0,999,0,2500,355,0,50,25
47,0,498,0,999,0,2500,343,92,100,31.734570875657134
48,0,498,0,999,0,2500,333,67,100,25
49,0,498,0,999,0,2500,340,23,100,25
50,0,498,0,999,0,2500,337,67,0,25
51,0,498,0,999,0,5000,385,72,0,25
52,0,498,0,999,0,5000,393,79,0,25
53,0,498,0,999,0,5000,390,52,0,25
54,0,498,0,999,0,5000,400,85,50,25
55,0,498,0,999,0,5000,401,89,0,25
56,0,498,0,999,0,5000,389,8,100,25
57,0,498,0,999,0,5000,380,17,0,25
58,0,498,0,999,0,5000,386,21,50,25
59,0,498,0,999,0,5000,387,67,100,25
60,0,498,0,999,0,5000,387,44,50,25
61,0,498,0,999,1,2500,282,66,50,32.26296348874838
62,0,498,0,999,1,2500,0,77,0,0
63,0,498,0,999,1,2500,0,44,0,0
64,0,498,0,999,1,2500,0,40,100,0
65,0,498,0,999,1,2500,0,24,50,0
66,0,498,0,999,1,2500,0,61,100,0
67,0,498,0,999,1,2500,0,95,50,0
68,0,498,0,999,1,2500,0,29,100,0
69,0,498,0,999,1,2500,270,45,50,32.12842195185719
70,0,498,0,999,1,2500,0,63,100,0
71,0,498,0,999,1,5000,0,5,0,0
72,0,498,0,999,1,5000,0,67,100,0
73,0,498,0,999,1,5000,311,74,50,41.70353624877793
74,0,498,0,999,1,5000,317,39,0,30.31655457740538
75,0,498,0,999,1,5000,299,12,0,26.459815928222056
76,0,498,0,999,1,5000,320,75,50,27.423941550672737
77,0,498,0,999,1,5000,0,93,0,0
78,0,498,0,999,1,5000,0,0,50,0
79,0,498,0,999,1,5000,313,34,100,46.91279509713056
80,0,498,0,999,1,5000,0,36,0,0
161,0,999,0,498,0,2500,343,51,100,75
162,0,999,0,498,0,2500,345,68,100,74.32031934616862
163,0,999,0,498,0,2500,341,47,0,75
164,0,999,0,498,0,2500,331,100,100,75
165,0,999,0,498,0,2500,333,75,50,75
166,0,999,0,498,0,2500,326,90,100,75
167,0,999,0,498,0,2500,329,80,50,75
168,0,999,0,498,0,2500,335,46,100,75
169,0,999,0,498,0,2500,313,3,100,74.67079423212037
170,0,999,0,498,0,2500,338,78,50,75
171,0,999,0,498,0,5000,389,57,50,75
172,0,999,0,498,0,5000,382,88,0,75
173,0,999,0,498,0,5000,397,44,50,75
174,0,999,0,498,0,5000,408,97,50,75
175,0,999,0,498,0,5000,380,50,50,75
176,0,999,0,498,0,5000,367,24,100,75
177,0,999,0,498,0,5000,373,18,0,75
178,0,999,0,498,0,5000,371,52,100,75
179,0,999,0,498,0,5000,384,61,100,75
180,0,999,0,498,0,5000,382,92,0,75
181,0,999,0,498,1,2500,286,67,100,51.00664650998289
182,0,999,0,498,1,2500,0,1,0,0
183,0,999,0,498,1,2500,0,35,0,0
184,0,999,0,498,1,2500,0,89,100,0
185,0,999,0,498,1,2500,290,69,0,60.92484626336774
186,0,999,0,498,1,2500,0,54,0,0
187,0,999,0,498,1,2500,266,96,100,69.26620524305059
188,0,999,0,498,1,2500,281,45,0,66.96827357063233
189,0,999,0,498,1,2500,257,11,0,71.0644613863214
190,0,999,0,498,1,2500,266,44,0,60.58784853804239
191,0,999,0,498,1,5000,310,48,0,69.72840467471008
192,0,999,0,498,1,5000,321,8,100,57.619069259042845
193,0,999,0,498,1,5000,0,34,50,0
194,0,999,0,498,1,5000,321,53,50,68.0145098373675
195,0,999,0,498,1,5000,0,44,0,0
196,0,999,0,498,1,5000,0,41,0,0
197,0,999,0,498,1,5000,299,0,100,61.978110134513045
198,0,999,0,498,1,5000,306,56,0,58.317744139262025
199,0,999,0,498,1,5000,0,45,100,0
200,0,999,0,498,1,5000,0,11,0,0
201,0,999,0,999,0,2500,471,43,50,38.62820788086746
202,0,999,0,999,0,2500,485,77,100,50
203,0,999,0,999,0,2500,467,28,50,50
204,0,999,0,999,0,2500,472,81,0,50
205,0,999,0,999,0,2500,470,86,0,50
206,0,999,0,999,0,2500,486,17,0,38.249200693248866
207,0,999,0,999,0,2500,472,70,100,50
208,0,999,0,999,0,2500,475,96,100,50
209,0,999,0,999,0,2500,473,52,100,50
210,0,999,0,999,0,2500,491,54,50,75
211,0,999,0,999,0,5000,634,52,50,50
212,0,999,0,999,0,5000,655,43,100,50
213,0,999,0,999,0,5000,636,33,100,50
214,0,999,0,999,0,5000,618,61,0,50
215,0,999,0,999,0,5000,637,99,100,50
216,0,999,0,999,0,5000,657,48,0,50
217,0,999,0,999,0,5000,635,47,0,50
218,0,999,0,999,0,5000,637,24,0,50
219,0,999,0,999,0,5000,643,38,100,50
220,0,999,0,999,0,5000,669,23,0,50
221,0,999,0,999,1,2500,365,52,50,44.65994355363049
222,0,999,0,999,1,2500,0,51,50,0
223,0,999,0,999,1,2500,406,73,0,39.25838422672495
224,0,999,0,999,1,2500,392,22,0,47.00684335035807
225,0,999,0,999,1,2500,0,80,100,0
226,0,999,0,999,1,2500,399,46,0,49.88196791744334
227,0,999,0,999,1,2500,0,100,100,0
228,0,999,0,999,1,2500,399,87,50,44.1953141744921
229,0,999,0,999,1,2500,383,11,50,53.42050316682864
230,0,999,0,999,1,2500,362,90,100,50.4711265310964
231,0,999,0,999,1,5000,547,92,100,48.81033052155013
232,0,999,0,999,1,5000,526,20,50,46.686543311333594
233,0,999,0,999,1,5000,549,45,0,52.72355490876778
234,0,999,0,999,1,5000,489,16,100,62.877403409375944
235,0,999,0,999,1,5000,570,99,50,49.88837915555093
236,0,999,0,999,1,5000,554,16,50,44.285109748049535
237,0,999,0,999,1,5000,572,10,0,51.50603661751773
238,0,999,0,999,1,5000,517,17,50,53.21846741049988
239,0,999,0,999,1,5000,528,7,0,53.217216910398
240,0,999,0,999,1,5000,573,89,100,53.61943718958959
1,0,498,0,498,0.5,2500,365,56,50,49.73546205858075
2,0,498,0,498,0.5,2500,370,11,50,48.21493600512011
3,0,498,0,498,0.5,2500,369,52,0,56.68340626946508
4,0,498,0,498,0.5,2500,369,11,0,50.00629860483644
5,0,498,0,498,0.5,2500,365,28,50,53.73824004927447
6,0,498,0,498,0.5,2500,373,65,50,50
7,0,498,0,498,0.5,2500,365,36,50,49.847795413108095
8,0,498,0,498,0.5,2500,349,74,50,50
9,0,498,0,498,0.5,2500,371,81,0,49.69725096073873
10,0,498,0,498,0.5,2500,368,46,50,49.994340443812014
11,0,498,0,498,0.5,5000,378,75,50,50.001950076139174
12,0,498,0,498,0.5,5000,385,51,100,51.35510477377483
13,0,498,0,498,0.5,5000,372,44,50,49.95571141640884
14,0,498,0,498,0.5,5000,372,90,0,50.00416264481019
15,0,498,0,498,0.5,5000,381,97,50,50.51967996232693
16,0,498,0,498,0.5,5000,371,53,0,49.97466962586864
17,0,498,0,498,0.5,5000,385,71,100,46.53538130921956
18,0,498,0,498,0.5,5000,376,77,50,50.311942180973794
19,0,498,0,498,0.5,5000,375,56,0,50.461083318865505
20,0,498,0,498,0.5,5000,381,94,100,49.96879146160401
21,0,498,0,999,0.5,2500,372,97,50,32.99796768152869
22,0,498,0,999,0.5,2500,393,88,100,33.12972648688316
23,0,498,0,999,0.5,2500,384,94,50,25.25679706198475
24,0,498,0,999,0.5,2500,395,87,50,29.350158118583295
25,0,498,0,999,0.5,2500,372,23,0,25
26,0,498,0,999,0.5,2500,385,67,50,28.548203787666903
27,0,498,0,999,0.5,2500,384,13,0,32.638071070606856
28,0,498,0,999,0.5,2500,383,84,100,25.01050179883054
29,0,498,0,999,0.5,2500,374,78,0,35.95170913870844
30,0,498,0,999,0.5,2500,381,51,0,39.70644381316295
31,0,498,0,999,0.5,5000,441,80,100,25.00008047561066
32,0,498,0,999,0.5,5000,441,14,100,25.072261284576122
33,0,498,0,999,0.5,5000,420,44,50,25
34,0,498,0,999,0.5,5000,447,4,50,25.527782255232026
35,0,498,0,999,0.5,5000,433,66,0,27.22660921733834
36,0,498,0,999,0.5,5000,443,77,50,25.06503144695688
37,0,498,0,999,0.5,5000,448,93,50,25.0062949117777
38,0,498,0,999,0.5,5000,452,29,100,25.068346713190923
39,0,498,0,999,0.5,5000,445,84,0,25.17295342170089
40,0,498,0,999,0.5,5000,432,21,50,25
81,0,999,0,498,0.5,2500,384,10,0,74.42071075197202
82,0,999,0,498,0.5,2500,382,10,100,68.21472937359022
83,0,999,0,498,0.5,2500,390,42,100,68.07752315113129
84,0,999,0,498,0.5,2500,373,88,0,52.90362165102643
85,0,999,0,498,0.5,2500,382,67,0,60.03900329783417
86,0,999,0,498,0.5,2500,389,55,100,71.72215984144678
87,0,999,0,498,0.5,2500,386,25,50,55.01039268666935
88,0,999,0,498,0.5,2500,382,93,0,73.92222177800937
89,0,999,0,498,0.5,2500,382,49,100,64.27892730456207
90,0,999,0,498,0.5,2500,381,69,50,66.62027033761021
91,0,999,0,498,0.5,5000,442,41,0,74.99954638511687
92,0,999,0,498,0.5,5000,447,30,100,74.49933368033027
93,0,999,0,498,0.5,5000,424,49,100,75
94,0,999,0,498,0.5,5000,440,53,0,74.99511963284041
95,0,999,0,498,0.5,5000,446,69,100,74.97419757171039
96,0,999,0,498,0.5,5000,443,71,100,74.98609620804018
97,0,999,0,498,0.5,5000,436,4,0,74.99999956198027
98,0,999,0,498,0.5,5000,443,16,50,74.95069433316957
99,0,999,0,498,0.5,5000,437,46,0,74.98907758079488
100,0,999,0,498,0.5,5000,456,0,0,74.99997564577302
101,0,999,0,999,0.5,2500,538,76,0,62.82008250855127
102,0,999,0,999,0.5,2500,543,26,100,44.602501867556605
103,0,999,0,999,0.5,2500,538,69,50,45.754950125967724
104,0,999,0,999,0.5,2500,536,14,100,25
105,0,999,0,999,0.5,2500,535,72,50,55.25951901448137
106,0,999,0,999,0.5,2500,537,2,50,71.49905705753773
107,0,999,0,999,0.5,2500,521,32,100,40.74956234670037
108,0,999,0,999,0.5,2500,551,16,50,51.467192193016075
109,0,999,0,999,0.5,2500,528,92,50,74.94062779093815
110,0,999,0,999,0.5,2500,534,35,50,26.831211077773325
111,0,999,0,999,0.5,5000,0,29,0,0
112,0,999,0,999,0.5,5000,0,40,50,0
113,0,999,0,999,0.5,5000,739,78,50,50.000970371297726
114,0,999,0,999,0.5,5000,739,38,0,50
115,0,999,0,999,0.5,5000,718,73,100,50
116,0,999,0,999,0.5,5000,0,8,0,0
117,0,999,0,999,0.5,5000,753,6,0,50.06702958679765
118,0,999,0,999,0.5,5000,731,65,100,49.59389984621585
119,0,999,0,999,0.5,5000,745,75,0,50
120,0,999,0,999,0.5,5000,727,97,0,51.40933720249333
