Run,manSellers,Buyers,manBuyers,Sellers,riskAversion,maxRounds,Trades,manTarget,actualPrice,finalPrice
1,500,498,500,498,0.25,2500,0,66,50,0
2,500,498,500,498,0.25,2500,621,23,50,29.74008775308208
3,500,498,500,498,0.25,2500,0,84,50,0
4,500,498,500,498,0.25,2500,0,93,100,0
5,500,498,500,498,0.25,2500,0,88,50,0
6,500,498,500,498,0.25,2500,616,83,0,50
7,500,498,500,498,0.25,2500,0,6,50,0
8,500,498,500,498,0.25,2500,0,59,0,0
9,500,498,500,498,0.25,2500,583,89,50,73.08891441433869
10,500,498,500,498,0.25,2500,622,40,50,48.49350815939914
11,500,498,500,498,0.25,5000,840,68,50,39.3593659133207
12,500,498,500,498,0.25,5000,0,96,0,0
13,500,498,500,498,0.25,5000,808,74,50,37.22483118994997
14,500,498,500,498,0.25,5000,835,70,100,49.02689076561859
15,500,498,500,498,0.25,5000,0,10,50,0
16,500,498,500,498,0.25,5000,829,0,100,27.276035739266312
17,500,498,500,498,0.25,5000,840,56,0,27.703201224547904
18,500,498,500,498,0.25,5000,839,42,100,47.13292107069753
19,500,498,500,498,0.25,5000,824,68,100,48.37919134796448
20,500,498,500,498,0.25,5000,781,31,0,46.18630346965482
21,500,498,500,498,0.75,2500,0,81,100,0
22,500,498,500,498,0.75,2500,0,38,0,0
23,500,498,500,498,0.75,2500,603,67,50,38.14842258759568
24,500,498,500,498,0.75,2500,0,60,50,0
25,500,498,500,498,0.75,2500,0,41,50,0
26,500,498,500,498,0.75,2500,0,61,50,0
27,500,498,500,498,0.75,2500,0,88,100,0
28,500,498,500,498,0.75,2500,0,96,100,0
29,500,498,500,498,0.75,2500,0,65,0,0
30,500,498,500,498,0.75,2500,605,9,0,41.20648854966605
31,500,498,500,498,0.75,5000,816,16,50,31.74359833784344
32,500,498,500,498,0.75,5000,816,31,100,28.80351025241121
33,500,498,500,498,0.75,5000,0,85,0,0
34,500,498,500,498,0.75,5000,826,68,100,40.89633125745685
35,500,498,500,498,0.75,5000,819,47,100,48.04755836240933
36,500,498,500,498,0.75,5000,823,50,0,30.058104779883983
37,500,498,500,498,0.75,5000,0,64,100,0
38,500,498,500,498,0.75,5000,810,99,0,42.94801097435298
39,500,498,500,498,0.75,5000,0,42,100,0
40,500,498,500,498,0.75,5000,846,50,50,25.851029982025402
41,500,498,500,999,0.25,2500,465,69,0,70.85128547665221
42,500,498,500,999,0.25,2500,0,70,50,0
43,500,498,500,999,0.25,2500,441,62,100,24.92767475892361
44,500,498,500,999,0.25,2500,458,50,0,44.44907675220125
45,500,498,500,999,0.25,2500,441,8,50,27.561889542002124
46,500,498,500,999,0.25,2500,0,31,0,0
47,500,498,500,999,0.25,2500,431,71,0,49.84615384615385
48,500,498,500,999,0.25,2500,453,22,50,25
49,500,498,500,999,0.25,2500,448,18,50,43.60803728066666
50,500,498,500,999,0.25,2500,0,25,50,0
51,500,498,500,999,0.25,5000,700,37,0,25.259721729543198
52,500,498,500,999,0.25,5000,710,96,100,24.76525821596244
53,500,498,500,999,0.25,5000,644,5,100,33.94065221573524
