Run,manSellers,Buyers,manBuyers,Sellers,riskAversion,maxRounds,Trades,manTarget,actualPrice,finalPrice
1,500,498,500,498,0,2500,594,62,50,49.85630970888131
2,500,498,500,498,0,2500,604,47,0,72.89118445145274
3,500,498,500,498,0,2500,0,43,0,0
4,500,498,500,498,0,2500,0,77,100,0
5,500,498,500,498,0,2500,0,40,0,0
6,500,498,500,498,0,2500,0,80,100,0
7,500,498,500,498,0,2500,0,2,50,0
8,500,498,500,498,0,2500,606,43,50,50.04188986409545
9,500,498,500,498,0,2500,606,40,100,49.21875000000001
10,500,498,500,498,0,2500,0,29,50,0
11,500,498,500,498,0,5000,0,4,0,0
12,500,498,500,498,0,5000,810,47,100,31.51788245344903
13,500,498,500,498,0,5000,812,62,0,50
14,500,498,500,498,0,5000,806,66,50,48.70226074068203
15,500,498,500,498,0,5000,830,80,100,50
16,500,498,500,498,0,5000,0,49,50,0
17,500,498,500,498,0,5000,818,79,0,47.826086956521735
18,500,498,500,498,0,5000,0,59,100,0
19,500,498,500,498,0,5000,797,26,100,49.31506849315068
20,500,498,500,498,0,5000,0,55,50,0
21,500,498,500,498,1,2500,0,27,50,0
22,500,498,500,498,1,2500,0,13,0,0
23,500,498,500,498,1,2500,0,17,0,0
24,500,498,500,498,1,2500,0,9,100,0
25,500,498,500,498,1,2500,0,5,0,0
26,500,498,500,498,1,2500,570,34,100,61.03241186237812
27,500,498,500,498,1,2500,565,24,100,30.84362804369307
28,500,498,500,498,1,2500,555,23,0,42.97372455389456
29,500,498,500,498,1,2500,0,0,50,0
30,500,498,500,498,1,2500,0,77,0,0
31,500,498,500,498,1,5000,0,4,0,0
32,500,498,500,498,1,5000,0,18,0,0
33,500,498,500,498,1,5000,0,1,50,0
34,500,498,500,498,1,5000,0,89,50,0
35,500,498,500,498,1,5000,0,48,100,0
36,500,498,500,498,1,5000,0,39,50,0
37,500,498,500,498,1,5000,0,100,0,0
38,500,498,500,498,1,5000,744,82,100,41.03947237969202
39,500,498,500,498,1,5000,0,37,50,0
40,500,498,500,498,1,5000,0,5,0,0
41,500,498,500,999,0,2500,547,19,100,25
42,500,498,500,999,0,2500,0,35,0,0
43,500,498,500,999,0,2500,0,64,100,0
44,500,498,500,999,0,2500,544,20,0,31.038537699642532
45,500,498,500,999,0,2500,510,9,100,24.897959183673468
46,500,498,500,999,0,2500,527,74,0,25
47,500,498,500,999,0,2500,0,68,100,0
48,500,498,500,999,0,2500,549,20,100,49.58847736625515
49,500,498,500,999,0,2500,560,24,100,24.88095238095238
50,500,498,500,999,0,2500,558,31,0,47.45470094520725
51,500,498,500,999,0,5000,0,83,0,0
52,500,498,500,999,0,5000,0,67,100,0
53,500,498,500,999,0,5000,0,91,100,0
54,500,498,500,999,0,5000,861,68,100,44.62769968190631
55,500,498,500,999,0,5000,0,58,100,0
56,500,498,500,999,0,5000,839,37,50,25
57,500,498,500,999,0,5000,851,6,0,24.528301886792452
58,500,498,500,999,0,5000,0,95,50,0
59,500,498,500,999,0,5000,0,99,50,0
60,500,498,500,999,0,5000,0,42,0,0
61,500,498,500,999,1,2500,0,70,0,0
62,500,498,500,999,1,2500,513,60,50,52.91991782273269
63,500,498,500,999,1,2500,0,11,50,0
64,500,498,500,999,1,2500,0,66,0,0
65,500,498,500,999,1,2500,0,58,50,0
66,500,498,500,999,1,2500,0,63,100,0
67,500,498,500,999,1,2500,0,31,50,0
68,500,498,500,999,1,2500,0,18,50,0
69,500,498,500,999,1,2500,0,93,0,0
70,500,498,500,999,1,2500,0,21,50,0
71,500,498,500,999,1,5000,0,100,100,0
72,500,498,500,999,1,5000,766,46,0,21.582712004008954
73,500,498,500,999,1,5000,0,42,100,0
74,500,498,500,999,1,5000,0,69,100,0
75,500,498,500,999,1,5000,776,100,0,21.695088618833925
76,500,498,500,999,1,5000,0,18,0,0
77,500,498,500,999,1,5000,0,65,100,0
78,500,498,500,999,1,5000,0,93,0,0
79,500,498,500,999,1,5000,0,64,50,0
80,500,498,500,999,1,5000,0,54,100,0
81,500,498,1000,498,0,2500,563,86,50,74.72200037844155
82,500,498,1000,498,0,2500,0,1,0,0
83,500,498,1000,498,0,2500,0,67,100,0
84,500,498,1000,498,0,2500,0,76,100,0
85,500,498,1000,498,0,2500,555,38,0,52.201121490742665
86,500,498,1000,498,0,2500,589,73,0,49.30432918550881
87,500,498,1000,498,0,2500,553,19,100,51.08967109630353
88,500,498,1000,498,0,2500,574,98,100,74.30361690897075
89,500,498,1000,498,0,2500,0,98,100,0
90,500,498,1000,498,0,2500,551,1,50,73.83679056415707
91,500,498,1000,498,0,5000,829,2,50,74.3150684931507
92,500,498,1000,498,0,5000,0,88,0,0
93,500,498,1000,498,0,5000,808,72,50,49.89106753812637
94,500,498,1000,498,0,5000,835,24,50,50
95,500,498,1000,498,0,5000,839,21,50,69.10914692666134
96,500,498,1000,498,0,5000,0,29,100,0
97,500,498,1000,498,0,5000,814,74,0,50
98,500,498,1000,498,0,5000,821,82,50,50
99,500,498,1000,498,0,5000,834,10,100,50
100,500,498,1000,498,0,5000,0,77,100,0
101,500,498,1000,498,1,2500,0,16,0,0
102,500,498,1000,498,1,2500,0,34,0,0
103,500,498,1000,498,1,2500,0,61,50,0
104,500,498,1000,498,1,2500,0,21,50,0
105,500,498,1000,498,1,2500,0,58,100,0
106,500,498,1000,498,1,2500,0,3,0,0
107,500,498,1000,498,1,2500,0,49,0,0
108,500,498,1000,498,1,2500,0,38,100,0
109,500,498,1000,498,1,2500,0,42,0,0
110,500,498,1000,498,1,2500,471,9,100,48.28453927566899
111,500,498,1000,498,1,5000,0,79,100,0
112,500,498,1000,498,1,5000,0,14,100,0
113,500,498,1000,498,1,5000,0,57,100,0
114,500,498,1000,498,1,5000,697,13,50,44.94992099405217
115,500,498,1000,498,1,5000,0,66,100,0
116,500,498,1000,498,1,5000,0,63,0,0
117,500,498,1000,498,1,5000,0,22,50,0
